"","est1","est2","est3","est4","est5","est6","est7","est8","est9"
"","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t"
"_Ictype_1",".4405734",".7096202","5.523322",".2685004","15.452","48.94346",".8275246",".1135759","11.46601"
"","27.01276","61.87974","1423.006","2.609528","159.0043","41.59482","60.45808","1.321507","10.33517"
"_Ictype_2",".4487551",".6948481","5.514183",".3359743","22.79683","46.22269",".8280835",".1411055","10.80796"
"","24.76374","47.72024","1523.943","3.333654","97.63355","69.18244","38.27937","1.251328","10.89355"
"_Ictype_3",".4500277",".7173717","5.522776",".3092709","23.48875","46.82385",".8438689",".1506751","12.11932"
"","15.56042","25.74039","1005.277","2.679155","104.2145","45.73818","174.7007","1.367065","10.1555"
"N","16105","16488","16484","16491","16491","15684","16386","16491","16444"
"p_F","5.84e-07",".2265978",".0127441",".0154396",".0000751",".019107",".3837293",".3418806",".0054597"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9"
"","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t"
"_Ictype_1",".5812641",".611172","5.895307",".2882096","15.76638","42.85018",".7969265",".0098253","13.54276"
"","83.75282","158.9957","252.0894","1.920075","98.47519","29.70321","75.13006","1.648844","47.54306"
"_Ictype_2",".616338",".580786","5.961249",".3378599","23.14612","39.97723",".7811135",".0048886","11.47637"
"","51.27056","25.74404","213.7506","2.395585","68.04258","49.97464","128.3312","1.020149","9.780439"
"_Ictype_3",".5924092",".6471838","5.983418",".2882788","23.77719","42.2808",".8190476",".0190074","13.48756"
"","35.71392","168.302","264.5728","2.23294","72.39735","33.24143","51.01561","5.627151","14.76513"
"N","4479","4627","4617","4651","4651","4241","4633","4651","4642"
"p_F",".1138177",".0011032",".0070662",".1984763",".0030718",".1097192",".3235414",".1298894",".0703207"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9"
"","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t"
"_Ictype_1",".6347197",".5729927","5.996291",".2216405","15.51309","42.71124",".7521815",".008726","13.07504"
"","31.65133","693.5564","136.0182","1.213506","561.5922","23.34179","20.4868","2.359039","22.2504"
"_Ictype_2",".613082",".5997843","6.001846",".2169811","23.72013","41.92129",".7316562",".0157233","12.82914"
"","24.92001","20.02808","600.1842","1.374099","1434.622","24.2074","89.8044","5.149163","24.15063"
"_Ictype_3",".6320166",".4817073","6.028448",".2082515","23.97446","40.01542",".7062868",".0166994","14.20804"
"","37.1728","511.2129","479.6576","1.231961","62.70018","17.77889","133.2704","82.37712","14.50625"
"N","2417","2459","2536","2545","2545","2063","2545","2545","2522"
"p_F",".1319049",".5439652",".8971579",".8814771",".0266747",".098602",".3821376",".2897135",".2119591"
"","est1","est2","est3","est4","est5","est6","est7","est8","est9"
"","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t","b/t"
"_Ictype_1",".6089552",".6628242","6.03953","0","15.99432","39.35714",".7635328",".0170455","13.71875"
"",".",".",".",".",".",".",".",".","."
"_Ictype_2",".6503856",".5855422","5.999699","0","24.03095","38.19622",".7571429",".0095238","13.38095"
"",".",".",".",".",".",".",".",".","."
"_Ictype_3",".6796875",".5735661","6.085","0","24.33985","36.54867",".7163814",".0293399","15.94621"
"",".",".",".",".",".",".",".",".","."
"N","1108","1163","1166","13","1181","942","1180","1181","1181"
"p_F",".",".",".",".",".",".",".",".","."
