"","est1","est2","est3"
"","b/t","b/t","b/t"
"_Ictype0_1",".8594901",".3184641","8.867307"
"","97.70868","28.10495","64.48713"
"_Ictype0_2",".8013868",".3579462","9.086064"
"","97.43843","33.94512","71.00591"
"_Ictype0_3",".8496828",".3715111","9.73894"
"","104.0753","35.51464","76.33099"
"N","5833","5894","5873"
"p_F","1.02e-06",".0019215","6.07e-06"
"","est1","est2","est3"
"","b/t","b/t","b/t"
"_Ictype1_1",".8101983",".0195531","13.08757"
"","37.50596","3.973197","26.94606"
"_Ictype1_2",".778836","0","9.967505"
"","58.9907","0","33.68956"
"_Ictype1_3",".7995255",".0141677","12.21724"
"","57.19627","4.428158","38.90894"
"N","2141","2159","2155"
"p_F",".3692701",".0003272","8.19e-10"
"","est1","est2","est3"
"","b/t","b/t","b/t"
"_Ictype2_1",".7833828",".0118694","12.57567"
"","32.70527","1.727783","26.58842"
"_Ictype2_2",".738056",".0181219","12.41186"
"","41.35351","3.540319","35.21906"
"_Ictype2_3",".7107438",".0165289","13.37113"
"","39.75754","3.223788","37.15149"
"N","1549","1549","1526"
"p_F",".0523763",".7626089",".1389607"
"","est1","est2","est3"
"","b/t","b/t","b/t"
"_Ictype3_1",".7635328",".0170455","13.71875"
"","32.81214","2.366775","29.19305"
"_Ictype3_2",".7571429",".0095238","13.38095"
"","35.59227","1.444483","31.10322"
"_Ictype3_3",".7163814",".0293399","15.94621"
"","33.23221","4.391337","36.57739"
"N","1180","1181","1181"
"p_F",".2567336",".1045193",".0000431"
